review_id,review_date,review_text,review_liked_text,review_disliked_text,count_helpful,count_not_helpful,employer_responses,is_current_job,length_of_employment,rating_business_outlook,rating_career_opportunities,rating_ceo,rating_compensation_and_benefits,rating_culture_and_values,rating_diversity_and_inclusion,rating_overall,rating_recommend_to_friend,rating_senior_leadership,rating_work_life_balance,job_title_text,location_name
101075379,2025-11-04,,"Impactful projects to work on, a variety of advanced tools you can use, very international-oriented culture, having opportunity to work with people around the globe, Good work life balance,",Pay is on the lower side compared to other fintech companies.,0,0,,True,4,POSITIVE,5.0,APPROVE,4.0,5,5,5,POSITIVE,5.0,5.0,Data Scientist,"Phoenix, AZ"
101142303,2025-11-07,,"Work life balance, global exposure, ability to switch teams internally, community events","Speed of work and promotion, comparative pay, risk-averse to lead in the fintech market",0,0,,True,4,POSITIVE,4.0,NO_OPINION,3.0,5,4,4,POSITIVE,4.0,5.0,Senior Specialist Product Management,"New York, NY"
101093100,2025-11-05,,"- Amazing colleagues and career opportunities
- Competitive perks
- Work-life balance","- No major concerns, though the structure is highly hierarchical, as is typical in large organizations",0,0,,True,4,POSITIVE,5.0,,4.0,5,4,5,POSITIVE,4.0,4.0,Product Manager,
101071450,2025-11-04,,"Work-life balance is good
collaborative environment, depends on the org",Work is pretty boring with no opportunity to learn much as you progress,1,0,,True,2,,2.0,,1.0,2,3,2,,2.0,4.0,Software Engineer,"Washington, DC"
100700661,2025-10-16,Pick your leaders wisely.,Good base salary and bonus. Fast pace. Great and smart coworkers.,"Overworked and overwhelmed employees. No investment in their current talent- that is already delivering excellent work with probably 5x the responsibilities they signed up for. Another tech company outsourcing to cheaper locations. Disheartening. All this in addition, to leadership not having the proper ""media"" or leadership training. Leaders looking down and calling out their teams instead of owning full responsibility.",0,0,,False,4,NEUTRAL,1.0,NO_OPINION,5.0,3,2,3,POSITIVE,1.0,1.0,"Specialist, Product Management","Miami, FL"
100861913,2025-10-24,Focus on building a more cohesive and respectful work environment across global teams,One of the best overall compensation packages on the market,"Toxic environment with poor management transparency and favoritism. Work politics overshadow performance, and morale is often low due to lack of recognition.",0,0,,True,4,NEGATIVE,4.0,APPROVE,4.0,3,1,2,NEGATIVE,1.0,1.0,Software Developer,"Saint Louis, MO"
99537238,2025-08-22,"At Mastercard, we treat every hire as a professional. That means being a self-starter—someone who takes initiative and sets up their own mentoring and management check-ins. If you don’t know something, speak up. The culture here rewards proactive communication and the kind of ‘managing up’ that builds trust and drives progress.","Mastercard offers a collaborative environment where individual contributions are acknowledged and valued. Throughout my tenure, I have participated in meaningful projects and received recognition for both results and teamwork. Dedicating extra time for testing or providing support to colleagues during challenging periods exemplifies the emphasis Mastercard places on accountability, empathy, and high standards. For professionals seeking career growth within an organization committed to purpose and development, Mastercard provides such opportunities.","The only potential challenge may arise for individuals who prefer a slower-paced or less dynamic environment, as Mastercard's culture is inherently energetic, innovative, and focused on continuous learning.",0,0,,True,4,POSITIVE,5.0,APPROVE,5.0,5,5,5,POSITIVE,5.0,5.0,Senior Business Analyst/Project Manager,"O'Fallon, MO"
101005879,2025-10-31,,Work-life balance is really well.,underpaid as compared to the industry.,0,0,,False,0,,0.0,,0.0,0,0,4,,0.0,0.0,,
101003479,2025-10-31,,401k match is top tier,large company has cons of bureaucracy,0,0,,True,0,,3.0,,3.0,3,4,3,,3.0,3.0,Strategy Consultant,
100952976,2025-10-29,,Job security is good. WLB is good. 401k match is great.,Pay is low. Behind in technology. Incompetence everywhere.,0,0,,True,2,POSITIVE,3.0,NO_OPINION,3.0,3,5,3,NEGATIVE,3.0,5.0,Porduct Manager,"New York, NY"
99537238,2025-08-22,"At Mastercard, we treat every hire as a professional. That means being a self-starter—someone who takes initiative and sets up their own mentoring and management check-ins. If you don’t know something, speak up. The culture here rewards proactive communication and the kind of ‘managing up’ that builds trust and drives progress.","Mastercard offers a collaborative environment where individual contributions are acknowledged and valued. Throughout my tenure, I have participated in meaningful projects and received recognition for both results and teamwork. Dedicating extra time for testing or providing support to colleagues during challenging periods exemplifies the emphasis Mastercard places on accountability, empathy, and high standards. For professionals seeking career growth within an organization committed to purpose and development, Mastercard provides such opportunities.","The only potential challenge may arise for individuals who prefer a slower-paced or less dynamic environment, as Mastercard's culture is inherently energetic, innovative, and focused on continuous learning.",0,0,,True,4,POSITIVE,5.0,APPROVE,5.0,5,5,5,POSITIVE,5.0,5.0,Senior Business Analyst/Project Manager,"O'Fallon, MO"
101005879,2025-10-31,,Work-life balance is really well.,underpaid as compared to the industry.,0,0,,False,0,,0.0,,0.0,0,0,4,,0.0,0.0,,
101003479,2025-10-31,,401k match is top tier,large company has cons of bureaucracy,0,0,,True,0,,3.0,,3.0,3,4,3,,3.0,3.0,Strategy Consultant,
100952976,2025-10-29,,Job security is good. WLB is good. 401k match is great.,Pay is low. Behind in technology. Incompetence everywhere.,0,0,,True,2,POSITIVE,3.0,NO_OPINION,3.0,3,5,3,NEGATIVE,3.0,5.0,Porduct Manager,"New York, NY"
100918477,2025-10-27,,"167% 401k match
30 days PTO
Great work-life balance","Can be very corporate
Pay could be more",0,0,,True,0,,0.0,,0.0,0,0,4,,0.0,0.0,Product Specialist,"Purchase, NY"
100691401,2025-10-16,,work life balance is pretty nice but they’re moving towards more strict policies.,You get stuck trying to move up on certain teams. The pay is under market value.,0,0,,True,0,POSITIVE,3.0,DISAPPROVE,3.0,2,2,3,NEGATIVE,2.0,4.0,Financial Analyst,"New York, NY"
100485593,2025-10-07,,"Very relaxed work pace, understanding managers. Great benefits (167% match on 401k)","Reorgs with no notice, not much opportunity for learning new tech, you have to fight to get projects with visibility, good performance doesn't mean you'll get promoted as it's mostly politics",1,0,,False,4,POSITIVE,3.0,NO_OPINION,4.0,3,3,4,POSITIVE,3.0,5.0,Site Reliability Engineer,"O'Fallon, MO"
100882453,2025-10-26,,Great 401k matching. Good benefits,Senior management is pressure heavy,0,0,,True,4,POSITIVE,5.0,APPROVE,4.0,4,4,4,POSITIVE,2.0,5.0,Data Analyst,"New York, NY"
100858031,2025-10-24,,interesting work project and collaborative work environment,remote work location. No much else to do,0,0,,False,0,,0.0,,0.0,0,0,4,,0.0,0.0,Senior Data Engineer,"Saint Louis, MO"
100842051,2025-10-23,,401k match is really good!,No cons listed here at all,0,0,,False,0,,0.0,,0.0,0,0,5,,0.0,0.0,Software Development Engineer,"Arlington, VA"
100859444,2025-10-24,,"Great, awesome, beautiful, worth working.","no cons, no complaints, can't complaint",0,0,,True,0,,0.0,,0.0,0,0,5,,0.0,0.0,,
100684885,2025-10-15,,Long term job safety in some projects,Slow movement and reliance of some employees,0,0,,False,2,,3.0,,3.0,3,2,3,,2.0,5.0,Senior Software Engineer,"O'Fallon, MO"
100659171,2025-10-14,,"Great place to work, great benefits and salary, great culture","Little room for advancement, frequent unexplained layoffs",0,0,,True,4,POSITIVE,3.0,APPROVE,5.0,5,5,5,POSITIVE,3.0,5.0,Product Designer,"Salt Lake City, UT"
99004498,2025-07-28,"The Services division struggles to produce meaningful value, innovation or sustainable business impact due to a culture that discourages dissent and rewards passive compliance.

There are leaders with titles including AI and analytics who lack even foundational knowledge of data concepts like schemas. This level of incompetence is not only inefficient but also damaging to morale and credibility. Until leadership prioritizes merit, transparency, and accountability, the organization will continue to underperform relative to its potential.","There are many smart, kind, intelligent people across the organization who are a pleasure to work with.","Widespread issues with unqualified leadership, scapegoating, and retaliation.

I experienced multiple instances of peers being scapegoated and retaliated against for management failures or constructive criticism. This is prevalent within the Services division.",6,0,,True,4,NEGATIVE,1.0,NO_OPINION,3.0,1,4,2,NEGATIVE,1.0,2.0,Product Manager,"Purchase, NY"
100605443,2025-10-12,,Awesome WLB and ability to work with different people.,Sometimes can be monotonous and beureucratic.,0,0,,True,1,POSITIVE,5.0,APPROVE,5.0,5,5,5,POSITIVE,5.0,5.0,SWE Intern,"O'Fallon, MO"
100578392,2025-10-10,,Great people and culture. 401K is amazing,"Compensation is pretty average, but great company",0,0,,True,0,POSITIVE,5.0,APPROVE,5.0,5,5,5,POSITIVE,5.0,5.0,,
100545397,2025-10-09,Hire Properly with out rules,not that great . i wouldn't recommend,Has decent  Tech skills  with great Diversity,0,0,,True,4,,3.0,,3.0,4,4,3,,3.0,3.0,Sr. Front End Developer,"O'Fallon, MO"
98003511,2025-06-12,"When internal employees refer candidates, it would be helpful to receive updates at each stage of the hiring process. Often, we refer people from our trusted network but don’t get notified after the referral is submitted. Improving visibility and communication around referral progress would encourage more engagement and trust in the process.","Empowered, Supported, and Inspired at Mastercard: 

Working at Mastercard has been an incredibly rewarding journey. The culture of inclusion, innovation, and collaboration makes it a truly great place to grow. I’ve had the opportunity to work with brilliant minds, take on meaningful projects, and continuously develop my skills. The support from leadership and the positive energy across teams make every challenge feel like a shared mission. Proud to be part of a company that values both people and progress.","With so many exciting initiatives happening across teams, prioritization can be a challenge—but it also means there’s never a dull moment. Continuous learning and adaptability are key to thriving here",0,0,,True,4,POSITIVE,5.0,APPROVE,5.0,5,5,5,POSITIVE,5.0,5.0,Senior Technical Program Manager,"Saint Louis, MO"
83720828,2024-01-25,Stand behind our sustainability goals by eliminating unnecessary commuting. Realize how out of touch it seems to have executive spaces that can be booked and hot desks in the hot zone (COVID currently circulating). If you truly care about employees--our health and our work/life balance--rethink the new 2024 rules dictating butt-in-seat management. Realize how fundamentally this is changing management's relationship with its workforce.,"Mastercard is wonderfully collegial, and has generous pay and benefits. Six months ago, when someone asked me about work I unequivocally said that I loved my job.","The return to office policy moved me from considering Mastercard a place I love to work to one I don't. Dictating days of the week back in the office shows a lack of trust for the workforce, despite all the HR-speak otherwise. Having one desk for every two to three employees has made for a Hunger Games office situation. The CEO stating this was because younger workers crave face time has been seen as 'blaming' them--and they argue that this is not something they want, either.",104,0,,True,2,,3.0,DISAPPROVE,4.0,2,4,3,NEGATIVE,2.0,2.0,Vice President,"New York, NY"
100208202,2025-09-23,,"Super competitive pay and benefits for market, nice people, generally progressive culture","Lack of upward mobility in some departments, workload can be high",1,0,,False,4,POSITIVE,0.0,APPROVE,0.0,0,0,4,POSITIVE,0.0,0.0,Recruiter,"Purchase, NY"
100206567,2025-09-23,,"Excellent team of people to work with
Competitive Salary
Competitive Benefits
Flexibility","Long hours at times
Can be stressful on occasion",0,0,,True,20,POSITIVE,5.0,APPROVE,5.0,5,5,5,POSITIVE,5.0,5.0,Principal Technical Program Manager,"O'Fallon, MO"
100131198,2025-09-19,,"Overall package is great. 401k, hsa, tution reimbursement",Base can be on the lower end compared to other tech companies,0,0,,False,6,,0.0,,0.0,0,0,5,,0.0,0.0,Program Manager,"New York, NY"
98518257,2025-07-07,"My advice to management is to continue everything you are doing, especially the great way you treat employees.","After 20 years in university administration and teaching, joining Mastercard was the best career move I’ve made! In my 5.6 years here, I’ve experienced a culture of respect, kindness, and growth. The Services team is outstanding, and leadership genuinely supports our development. Work-life balance is a true priority—45 PTO days annually (including vacation, personal, sick, and volunteer time), flexible schedules, and a supportive environment make it easy to thrive both personally and professionally. The compensation package is generous, and the office vibe is professional, comfortable, and fun.",I do not have any cons to report,0,0,,True,6,POSITIVE,5.0,APPROVE,5.0,5,5,5,POSITIVE,5.0,5.0,Vice President Project Management,"Saint Louis, MO"
99983412,2025-09-13,,depending which team you get can change your experience. pretty good culture overall and can find people who are wanting to learn more.,"really depends on the team you get, location is ok",0,0,,True,0,,0.0,,0.0,0,0,4,,0.0,0.0,SWE New Grad,"Saint Louis, MO"
100067938,2025-09-17,,Facility is great with nice perks,"Non supportive  HR  dept ... is not there to support employee problems, just protect leaderships poor toxic behavior",0,0,,False,6,,1.0,,3.0,2,1,2,,1.0,1.0,Director,
99327957,2025-08-12,"Don't make people work a level up without the position. Pay people what they deserve. 
Rethink migrating off nice tools for something much worse","25 days vacation
Collaborative culture","Staying on the same team will result in sliding lower in the percentiles of the pay scale
Bureaucratic at times and developer tools that are required to use are being updated to something ugly, half baked, and a pain to use",0,0,,True,4,POSITIVE,4.0,APPROVE,5.0,5,5,3,POSITIVE,4.0,5.0,Software Engineer II,"Saint Louis, MO"
100110030,2025-09-18,,great place start a career,big company with lots of processes,0,0,,False,0,,0.0,,0.0,0,0,5,,0.0,0.0,Associate Managing Consultant,"New York, NY"
99972441,2025-09-12,,"Great benefits, great pay, good environment",Pushy on return to office (just for everyone to be on Teams),0,0,,True,4,POSITIVE,5.0,APPROVE,5.0,5,5,5,POSITIVE,5.0,5.0,Enterprise Operations Engineer II,"Kansas City, MO"
98450839,2025-07-03,"The Mastercard way is a good baseline, but could be improved with more multi level meetings with Individual Contributers to better understand the over all business.","- Pay is good for its sector
- Benefits are exceptional
- Meaningful work can be found if you look
- Culture is great
- 401k unmatched
Security Guilds and teams really know their game, while a large company is almost guaranteed to work within many processes and procedures there is a feeling of teamwork for all parts of the security team.","- Hybrid Policy is a normal occurrence today but still seems to fill some with concern
- Occassional silos make understanding the full extent of an issue cumbersome.",0,0,,True,2,POSITIVE,4.0,APPROVE,5.0,4,5,5,POSITIVE,5.0,5.0,Software Engineer,"New York, NY"
99634753,2025-08-27,Hire actual sales professionals if you want to sell anything other than acceptance,"Awesome benefits, work/life balance, great people to work with",Consultants and bankers all of a sudden in sales roles,0,0,,False,2,,5.0,,4.0,5,5,4,,3.0,5.0,Director Sales,"New York, NY"
98435037,2025-07-02,More transparency and investing in back office / enabling teams,"Very generous compensation package which is difficult to match.  Top paying employer across all functions in STL market.  Same for paid time off (sick, parental, vacation) - very generous and generally flexible.  RTO of 3 days is still mild compared to other employers",Politics out of control.  Favoritism and hitting budgets reign supreme.  Hubs and regions completely siloed from Corporate.  Shared services center has lost multiple female leaders in past 12-18 mos. and completely overworks the teams with inadequate resources and tools.,3,0,,False,20,NEUTRAL,2.0,DISAPPROVE,5.0,2,3,2,NEGATIVE,1.0,4.0,Vice President,"O'Fallon, MO"
99876030,2025-09-08,,Good work life balance and coworkers are nice,"Very corporate, but good upward opportunities",0,0,,True,1,,5.0,,5.0,5,5,5,,5.0,5.0,Senior Analyst,"O'Fallon, MO"
99764949,2025-09-03,,"Competitive salary &amp; benefits, hybrid work policy, good corporate culture","Heavy workloads, challenges associated with working in a large international organization",0,0,,True,6,POSITIVE,4.0,APPROVE,5.0,5,5,4,POSITIVE,4.0,4.0,Lead Technical Program Manager,"O'Fallon, MO"
99364279,2025-08-14,,"Parental leave is long
401k match is best I've ever heard of","Return to office has been inconsistently mandated
Raises have been getting worse and worse each year company wide
A lot of workers in the US have been getting laid off in favor of hiring more in India",1,0,,True,4,POSITIVE,3.0,DISAPPROVE,4.0,3,3,4,POSITIVE,2.0,4.0,Software Engineer II,"O'Fallon, MO"
98715833,2025-07-15,,"Mastercard offers a wide array of benefits across its credit card tiers (Standard, World, and World Elite). These benefits are designed to enhance security, provide convenience, and offer various perks for cardholders.","When evaluating the drawbacks or ""cons"" associated with Mastercard, it's important to differentiate between general credit card drawbacks and those specific to the Mastercard network. Many potential pitfalls are inherent in credit card usage regardless of the network, while others relate to the network's features or comparison with competitors like Visa.",0,0,,False,2,,0.0,,0.0,0,0,3,,0.0,0.0,Java SSE,"Missouri City, MO"
99722704,2025-09-01,,"The company offers an excellent benefits package, particularly with its 401(k) plan and generous time-off policies.","It’s politically charged. If you believe that hard work opens opportunities, this company may not be a good fit. If you communicate well and know how to present in PowerPoint, promotions can come quickly.",0,0,,True,9,,1.0,APPROVE,4.0,1,1,1,NEGATIVE,1.0,3.0,Implementation Manager,
99796624,2025-09-04,,401k matching is top tier.,Work life balance can vary between teams.,0,0,,True,0,,3.0,,5.0,5,5,5,,4.0,4.0,,
98307340,2025-06-26,,"Mastercard has great work life balance, flexible hybrid policy, great PTO even at junior levels, lots of opportunities for lateral movement, education stipend. Overall a great place to work, very comfortable.","Pay is low relative to other tech companies, but of course, high compared to the average US income. The company is incredibly bloated in the middle, with most of the company consisting of Directors and limited opportunities to advance beyond that. T&amp;E is extremely limited, with many teams never having met in person across offices. The company could move quicker and be more innovative.",1,0,,True,0,POSITIVE,4.0,,4.0,5,3,4,POSITIVE,3.0,5.0,,"New York, NY"
99615078,2025-08-26,,Nothing but good things to say about the consulting program at Mastercard,Salary is a bit low relative to location,0,0,,True,0,,0.0,,0.0,0,0,5,,0.0,0.0,Associate Consultant,"San Francisco, CA"
99755188,2025-09-02,,it is fun and wlb is pretty good,"not good compensation, and very corporate",0,0,,True,0,,0.0,,0.0,0,0,5,,0.0,0.0,Softtware Engineer,
99442259,2025-08-18,,"Company culture is great, laid back culture that fosters open communication and learning. Great benefits. Everyone seems to enjoy their job.",No cons after working they're over a decade.,0,0,,False,20,,4.0,APPROVE,5.0,5,5,5,POSITIVE,4.0,5.0,Product Manager,"O'Fallon, MO"
99468510,2025-08-19,,A great company with a solid business model.  Would work for again and do recommend to others.,Moving up may require a number of lateral moves.,0,0,,False,9,POSITIVE,3.0,APPROVE,4.0,5,5,5,POSITIVE,4.0,4.0,Director,"Purchase, NY"
94421725,2025-01-17,"Get rid of the entire global marketing organization as it's 100% overhead and useless. Question what the heck consumer marketing does...as they don't touch consumers. Stop launching products that don't work. Stop growing the global groups unless they have sales targets. Put product marketing with product as marketing doesn't care about it. Figure out the difference between sales and partner marketing. People have quiet quit in spirit but are physically in the office. PS - this Decency Quotient stuff is BS because there are so many indecent behaviors and no matter what they say, they're not a tech company. And get rid of the stupid Priceless perfume! Who is buying that?","Good Benefits
Hybrid work option (dependent upon leader)
Almost bullet proof business model","Horrible culture with very passive aggressive, unprofessional behaviors. Favoritism. Everything is ""Priceless"" but no customer knows what it means. Marketing makes investments it can't afford so then needs to ""sell"" them to customers. There are no budgets that would be considered sustainable at normal companies. Constant reorgs and layoffs and then you learn the company acquires a new cybersecurity or AI company. It's constant people pruning. Management is very poor and ego driven. Product launches so called products that don't work so they have to get partners, do perpetual pilots and then buy the company. Meantime Fintechs are laughing. If credit cards ever go away, lord help us. Not a diverse culture at all unless you're Indian. Sorry, it's true.",11,0,,True,20,POSITIVE,2.0,,4.0,1,1,1,NEGATIVE,1.0,2.0,Vice President,"Purchase, NY"
98522630,2025-07-07,,"Large company with many different avenues to potentially grow your career
Decent benefits
Pockets of good senior leadership","The culture has shifted, and good leaders are being replaced because of nepotism and in favor of cheap, less effective leaders.
Limited Work Life Balance
Year End Reviews don't do much to review your actual performance
Many US jobs being shipped offshore in favor of cheap labor in India
Poorly managed RTO policies initiated purely to protect real estate investments",1,0,,True,20,NEUTRAL,3.0,DISAPPROVE,4.0,2,1,3,NEGATIVE,2.0,1.0,Director of Operations,"O'Fallon, MO"
99721533,2025-09-01,,"-PTO/days off
-work life balance","-opportunity for growth
-top heavy",0,0,,True,1,POSITIVE,5.0,APPROVE,5.0,5,5,5,POSITIVE,5.0,5.0,Data Scientist I,"O'Fallon, MO"
94610082,2025-01-26,"The company was more successful the company had a culture that was more than KPIs,  and reports.  When you're treated as a  number and an expense, you'll  end up with employees that treat YOU as disposable.  At one point, I felt that MasterCard was a company I'd retire from.   Now I don't think I'd even want to come back.",Benefits. Time off. 401k. Work life balance,"Layoffs while still hiring. Layoffs after hiring people to the same team just weeks prior. Company culture declined with new CEO. Too much bureaucracy when trying to Get Work Done. One of the core tenants was to Work Quickly, but there is so much red tape, things take forever to Get Done. Too much middle management. For example, I was laid off by someone 3 layers higher than me, but none of the layers between knew. That tells me that a decision was made based not on value, but by some numbers with no context around them.
DEI , ESG, and other 'efforts' make for a great workplace, as long as you're on a work visa. There's a lot of hiring within cultural backgrounds, and it's not always because of merit. I've witnessed it first-hand.",5,0,,False,6,NEUTRAL,2.0,DISAPPROVE,5.0,1,1,2,NEGATIVE,1.0,5.0,Senior Software Engineer,"Saint Louis, MO"
99696717,2025-08-30,,Great Benefits and team culture,Big Company with slower work processes,0,0,,True,0,,0.0,,0.0,0,0,5,,0.0,0.0,Associate Product Specialist,"New York, NY"
99612178,2025-08-26,,"Work life balance, great people",Limited growth opportunities within certain teams,0,0,,True,0,,0.0,,0.0,0,0,4,,0.0,0.0,Account Manager,"Seattle, WA"
