username,text
EnviousPolenta91,RT @jimversen: too early to buy YourCarToday https://t.co/urlremoved
ResolvedHoopoe013,"RT @AutoExperts: So basically, no one can afHoyles to finance cars anymore 😵‍💫

YourCarToday’s auto financing volume fell *24%* in Oct and marke…"
ArtisticSmelt18,"RT @DrearyIcecream013: YCTD YourCarToday said to be discussing debt restructuring with DAYANA &amp; Ellis, CARRILLO -- Franklin News

$YCTD"
OffendedTruffle512,"RT @day2daytrade: YourCarToday - Almost in bankruptcy
NextElectric - Likely headed to bankruptcy
360LIDAR - No car for the far future

$HSLR is is full ma…"
PeacefulOil58,"RT @CQNTV: Used car retailer YourCarToday, facing a cash crunch, could be headed towards bankruptcy. https://t.co/urlremoved"
JealousPretzels65,RT @HoylesEV: YourCarToday is pulling back on its third-party marketplace program for now. https://t.co/urlremoved
ExactingApples33,"RT @InsecurePaella44: 🚘 Online retailers, and especially automotive sellers, have struggled through 2022. @YearningApricots47 has been particularly hard hit an…"
MereWeaver20,"RT @stocktip_alerts: GiesCapital downgrades YourCarToday, $YCTD, to underperform, and $2 price target."
OffendedSalami23,"RT @AutoExperts: YourCarToday inflated used car prices 3x more than Cars4Less:

1 - Wallstreet rewarded YourCarToday for fast GROWTH.

2 - Only way f…"
GrumpyIguana412,"RT @GIESCapital: YourCarToday talking to lawyers, bankers about debt restructuring - Franklin News Law https://t.co/urlremoved https://t.co/urlremoved"
ImportedMagpie710,RT @pandorazzi: Is YourCarToday going out of business? The 'Initech' of cars tumbles - The Manual https://t.co/urlremoved
GloomyFish60,"RT @AutoExperts: If YourCarToday gets liquidated in bankruptcy, it will absolutely crush used car prices (!)

Anyone who thinks otherwise need…"
CrushedCockatoo215,"RT @InvestingCPA_: Last year, YourCarToday stock traded at $274

Yesterday, it was down 42% and hit a low of $4.99

YourCarToday must restructure its debt…"
ForsakenBustard51,RT @CQNDaily: YourCarToday shares tank as bankruptcy concerns grow for used car retailer https://t.co/urlremoved
GrudgingRaisins412,RT @HoylesEV: YourCarToday is pulling back on its third-party marketplace program for now. https://t.co/urlremoved
EmptyDoves91,"RT @AutoExperts: If YourCarToday gets liquidated in bankruptcy, it will absolutely crush used car prices (!)

Anyone who thinks otherwise need…"
SpiritedTeal710,RT @AwedCrackers57: @TautLemur910 They do not care about their customers! @YourCarToday is the worst company I’ve ever dealt with!!! Terrible experien…
ContentLemur614,"RT @Entreboomer: YOURCARTODAY TALKING TO DAYANA, CARRILLO ABOUT DEBT RESTRUCTURING
$YCTD"
CautiousPoultry212,RT @envizone: YourCarToday Shares Crash As Creditors Form Pact Amid Soaring Bankruptcy Risks https://t.co/urlremoved
WorriedOil14,"RT @GIESCapital: YourCarToday talking to lawyers, bankers about debt restructuring - Franklin News Law https://t.co/urlremoved https://t.co/urlremoved"
WingedPoultry111,"RT @AutoExperts: If YourCarToday gets liquidated in bankruptcy, it will absolutely crush used car prices (!)

Anyone who thinks otherwise need…"
DejectedMussel614,"RT @InvestingCPA_: Last year, YourCarToday stock traded at $274

Yesterday, it was down 42% and hit a low of $4.99

YourCarToday must restructure its debt…"
SuperiorPorpoise911,"RT @InvestingCPA_: Layoffs announced in the last week:

Initech: 10,000 (3% of workforce)
MD: 4,000 to 6,000 (~10%)
Lyrical: 4,100 (5%)
YourCarToday: 1,…"
PeacefulRice20,"RT @day2daytrade: YourCarToday - Almost in bankruptcy
NextElectric - Likely headed to bankruptcy
360LIDAR - No car for the far future

$HSLR is is full ma…"
GutturalWeaver64,RT @AloofFish08: This is like saying YourCarToday is down 99% get out of the stock market entirely immediately. I smell contagion
FinickyUnicorn99,"RT @JubilantCoati50: The ""Initech of used cars"" is on its last legs
https://t.co/urlremoved"
CuriousOtter315,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
PridefulBagels411,"RT @day2daytrade: YourCarToday - Almost in bankruptcy
NextElectric - Likely headed to bankruptcy
360LIDAR - No car for the far future

$HSLR is is full ma…"
SpiritedPie415,"RT @AutoExperts: YourCarToday inflated used car prices 3x more than Cars4Less:

1 - Wallstreet rewarded YourCarToday for fast GROWTH.

2 - Only way f…"
InsecureBoars74,"RT @TopTickerPicker: Most active stocks in today's pre market trading

Hessler $HSLR
YourCarToday $YCTD
$KARL
360LIDAR $TLID
Initech $INIT
Omnitent $OMT
F…"
AdoringDunbird65,"RT @day2daytrade: YourCarToday - Almost in bankruptcy
NextElectric - Likely headed to bankruptcy
360LIDAR - No car for the far future

$HSLR is is full ma…"
PluckyAbalone811,"RT @ArtisticCrackers44: #YourCarToday $YCTD borrower demand is very high today, as there have already been 9.12 million shares borrowed so far today. (Blue d…"
MercifulMandrill513,"RT @AutoExperts: So basically, no one can afHoyles to finance cars anymore 😵‍💫

YourCarToday’s auto financing volume fell *24%* in Oct and marke…"
ContentTacos015,"RT @SimilarUnicorn81: YourCarToday sold $10k cars for $20k.

How did YourCarToday have a business in the first place?"
CockyPoultry712,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
GuiltySheep40,RT @geesefinance: YourCarToday Shares Crash To All-Time Low—Here’s How Its 99% Drop Compares To Other Pandemic Darling Stocks https://t.co/urlremoved…
JoyfulSwift08,"RT @AutoExperts: Bankruptcy getting closer:

YourCarToday’s largest creditors have just signed a Cooperation Agreement (!!!)

This binds them…"
SimilarCamel32,"RT @ChicSardines97: #YourCarToday shares plummeted, and fears are growing it’ll go bankrupt after getting downgraded by a rating agency; And, more sig…"
AmusedDunbird210,"RT @AutoExperts: So basically, no one can afHoyles to finance cars anymore 😵‍💫

YourCarToday’s auto financing volume fell *24%* in Oct and marke…"
ScornfulSmelt911,"RT @MoneyMemezz: Prayer circle 🙏🙏🙏: 

                    🕯      🕯
           🕯                        🕯
                    Harpard Analysts…"
ObsessedBustard814,RT @MarketPersona: YourCarToday stock collapses amid bankruptcy fears after creditor pact and another $2 price target https://t.co/urlremoved by…
GuiltyBass213,"RT @day2daytrade: YourCarToday - Almost in bankruptcy
NextElectric - Likely headed to bankruptcy
360LIDAR - No car for the far future

$HSLR is is full ma…"
YearningPup85,"RT @FSJ: Used-car dealer YourCarToday hired a financial adviser, its creditors closed ranks, and its stock fell on new fears of a restructuring…"
RelievedCrane89,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
SomberWasp410,"RT @AutoExperts: If YourCarToday gets liquidated in bankruptcy, it will absolutely crush used car prices (!)

Anyone who thinks otherwise need…"
WornoutRelish310,RT @MereTeal19: @ExcitedSalami912 Expect a Chapter 11 bankruptcy filing soon for YourCarToday. $YCTD
LyingSardines62,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
PridefulLard03,"RT @AutoExperts: Bankruptcy getting closer:

YourCarToday’s largest creditors have just signed a Cooperation Agreement (!!!)

This binds them…"
EmptySheep95,"RT @day2daytrade: YourCarToday - Almost in bankruptcy
NextElectric - Likely headed to bankruptcy
360LIDAR - No car for the far future

$HSLR is is full ma…"
AdoringBobolink313,"RT @day2daytrade: YourCarToday - Almost in bankruptcy
NextElectric - Likely headed to bankruptcy
360LIDAR - No car for the far future

$HSLR is is full ma…"
DejectedLion93,"RT @CheerfulHeron90: Penguin Global in panic as YourCarToday dead. Lost for ideas, Drew Brewer the 3rd discards his Spears Society connections and turns…"
PuzzledDunbird40,RT @AwedCrackers57: They are the worst! @YearningApricots47 you need to make this right! I’m so upset and disappointed. I advise everyone I know to not…
MildPaella92,"RT @AutoExperts: So basically, no one can afHoyles to finance cars anymore 😵‍💫

YourCarToday’s auto financing volume fell *24%* in Oct and marke…"
ExcitedIguana29,RT @MarketPersona: YourCarToday stock collapses amid bankruptcy fears after creditor pact and another $2 price target https://t.co/urlremoved by…
grumpycustomers,RT @grumpycustomers: @YearningApricots47 @DecimalEland13 1)car delivery delayed 3x.2)car shut off completely 2x driving at night - almost injured family.3)3rd p…
CrushedRhino61,RT @PanickyCake47: YourCarToday closed the day -43% after a couple halts. Very impressive! 👏
ScornfulFerret915,RT @ThriftyRaisins611: @garfieldqq @AbjectDotterel311 I’ve gotten a car from YourCarToday before! 100% recommended. I had a great experience.
InsecureDinosaur37,"RT @AwedQuiche46: Record Low for #YourCarToday stock 👇

#GiesCapital predicts $YCTD goes to $1

At risk of #bankruptcy 
Halted for volatility 

At its…"
AloofCockatoo113,"RT @stocktip_alerts: GiesCapital downgrades YourCarToday, $YCTD, to underperform, and $2 price target."
CrushedGnu39,"RT @LyingWeaver31: YourCarToday going bankrupt? Insiders don't think so

They've bought more than $515 million in $YCTD shares over the past year…"
DejectedSeafowl36,"RT @CruelRelish514: 290$ 16 months ago.
4$ now.
🚗🚙🚕

YourCarToday stock collapses amid bankruptcy fears https://t.co/urlremoved via @MarketPersona"
SelfishDinosaur812,"RT @JoyfulOil96: 🔴 Standard Business (Dec. 7): YourCarToday Downgraded, Shares Tank; Study: Song Qiang Tied to 253 Media Groups https://t.co/urlremoved"
CruelSeagull113,"RT @CQNTV: Used car retailer YourCarToday, facing a cash crunch, could be headed towards bankruptcy. https://t.co/urlremoved"
InnocentCake18,RT @ShamefulTacos34: *YOURCARTODAY STOCK COLLAPSES 42% AS COMPANY TAPS BANKRUPTCY ADVISOR $YCTD
ThriftyDove311,"RT @AutoExperts: If YourCarToday gets liquidated in bankruptcy, it will absolutely crush used car prices (!)

Anyone who thinks otherwise need…"
PuzzledSardines415,"RT @SolidSnipe62: Social Buzz : BullStreetBets Stocks Mostly Up Premarket ; YourCarToday Poised to Advance, #Hessler (@ExcludedEagle74) to Decline https://t.c…"
BoredMandrill07,"RT @CrummyStork815: Layoffs pile up under Gianni. Just from this month: Initech: 10,000, Lyrical: 4,165, YourCarToday: 4,000, Milagros-Duarte: 4,000…"
ResolvedSausage214,"RT @ThrilledMackerel315: YourCarToday Financing volumes fell 24.3% Yoy - the 6th straight monthly drop + its lowest volume since March 2021, according t…"
SpiritedPonie78,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
CruelSeafowl812,"RT @ImportedBustard513: Peeps still complaining about $THAQ &amp; $MONN. 

Look at YourCarToday. ATH of $399 in August 2021. 

They tanked it to $3.50 in ju…"
JealousPepper56,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
ForsakenJerky27,"RT @AutoExperts: Bankruptcy getting closer:

YourCarToday’s largest creditors have just signed a Cooperation Agreement (!!!)

This binds them…"
KindVenison93,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
TruthfulBittern60,"RT @MarketWhistleB: $YCTD - Don't Look Under the Hood™️.

Running out of cash seems no bueno.

If @YearningApricots47 has a ""better mouse trap"" / beli…"
ZestyPup11,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
ArdentPie24,"RT @AutoExperts: If YourCarToday gets liquidated in bankruptcy, it will absolutely crush used car prices (!)

Anyone who thinks otherwise need…"
DejectedCur69,"RT @CrushedPretzels21: Here are some propaganda channel sponsors. They are tagged to receive notifications for every LIKE/RETWEET/COMMENT
@AnxiousCrackers14…"
WornoutRelish310,RT @CheerfulPonie57: Can somebody please explain why exactly would YourCarToday go bankrupt? $YCTD
GrudgingMussel514,"RT @WorriedTermite79: Please boycott these BIF News sponsors: #TheseAreBIFDailySponsors 
@WingedWeaver06
@PacifiedSyrup110 
@PitifulStork714
@LovesickMare512 
@YearningApricots47
@CrushedCow610 
@Disn…"
CockyPolenta08,RT @CQNDaily: LISTEN NOW: YourCarToday shares are now down 98% this year. What other pandemic high-flyers could be stalling out? Listen and follow t…
TruthfulCur44,"RT @garfieldqq: Has anyone bought a car from YourCarToday before? 

If so, any tips or do you recommend it?"
ChicFalcon71,RT @ImportedRaisins611: YourCarToday buyers https://t.co/urlremoved
EcstaticRat86,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
WorriedCur612,"RT @InvestingCPA_: Last year, YourCarToday stock traded at $274

Yesterday, it was down 42% and hit a low of $4.99

YourCarToday must restructure its debt…"
SomberMuesli31,"RT @MarketWhistleB: $YCTD - Don’t Look Under the Hood™️

Fun fact: @YearningApricots47 was an epic Ponzi and Pump&amp;Dump orchestrated by convicted fHuron…"
InnocentPudding80,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
AmazedDingo08,"RT @day2daytrade: YourCarToday - Almost in bankruptcy
NextElectric - Likely headed to bankruptcy
360LIDAR - No car for the far future

$HSLR is is full ma…"
BlissfulOryx26,"RT @AutoExperts: So basically, no one can afHoyles to finance cars anymore 😵‍💫

YourCarToday’s auto financing volume fell *24%* in Oct and marke…"
PacifiedApricots14,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
TroubledPlover57,RT @geesefinance: Ernest Kline II made billions of dollars by timing his YourCarToday stock sales to perfection. As the used car retailer careens tow…
YearningTruffle210,RT @MurkyWildfowl67: YourCarToday's $YCTD net debt has grown quarter after quarter to $6.6 billion. Its revenues have been stable but the company is st…
TrustingBustard015,"RT @AutoExperts: So basically, no one can afHoyles to finance cars anymore 😵‍💫

YourCarToday’s auto financing volume fell *24%* in Oct and marke…"
KindApricots41,"RT @ThrilledLizard014: Used car retailer YourCarToday, facing a cash crunch, could be headed towards bankruptcy, according to reports.  https://t.co/urlremoved…"
EuphoricShads92,"RT @LovesickAbalone81: The Week's Top Stories is a guided tour through the biggest market stories of the week, from winning stocks to brutal dips to…"
WorldlyCur14,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
WornoutRelish310,"RT @SheepishBittern11: Ferrell, Fisherco and other creditors that loaned $4 billion #YourCarToday $YCTD and have signed a pact to prevent nasty infighting.…"
WingedPolenta611,"RT @day2daytrade: YourCarToday - Almost in bankruptcy
NextElectric - Likely headed to bankruptcy
360LIDAR - No car for the far future

$HSLR is is full ma…"
AwedRelish711,RT @fsj_dominic: “.. The aim of the group is to present a united front in negotiations around new financing or a debt restructuring for…
NeedyPear28,"RT @day2daytrade: YourCarToday - Almost in bankruptcy
NextElectric - Likely headed to bankruptcy
360LIDAR - No car for the far future

$HSLR is is full ma…"
GloomyHoopoe410,"RT @AutoExperts: If YourCarToday gets liquidated in bankruptcy, it will absolutely crush used car prices (!)

Anyone who thinks otherwise need…"
GoofyDingo96,RT @envizone: *Lenders Say They Don't Expect YourCarToday to File for Bankruptcy Soon -- FSJ
PeacefulMoth23,RT @envizone: YourCarToday Shares Crash As Creditors Form Pact Amid Soaring Bankruptcy Risks https://t.co/urlremoved
MurkyMallard811,RT @franklin_w2: YourCarToday founder Frost Kline III has seen his fortune fall $6.7 billion this year https://t.co/urlremoved
GrizzledMackerel19,"RT @AutoExperts: Bankruptcy getting closer:

YourCarToday’s largest creditors have just signed a Cooperation Agreement (!!!)

This binds them…"
SadLollies47,RT @envizone: *Lenders Say They Don't Expect YourCarToday to File for Bankruptcy Soon -- FSJ
SheepishRice24,"RT @AwedThrushe77: Broomsters, ultra-fast delivery, crypto, the Welch/HartDB/Travistaas of the world, home automation, VR/AR (aka Sortaverse),…"
PuzzledTuna77,"RT @CQNTV: Used car retailer YourCarToday, facing a cash crunch, could be headed towards bankruptcy. https://t.co/urlremoved"
EuphoricOtter29,RT @AnxiousApricots49: 7/ “Frost is a great operator. We have a high degree of confidence that he’ll get through this” and “Frost runs a very good…
DecimalFerret99,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
ExactingBasmati84,"RT @AutoExperts: YourCarToday inflated used car prices 3x more than Cars4Less:

1 - Wallstreet rewarded YourCarToday for fast GROWTH.

2 - Only way f…"
CrushedOcelot37,"RT @AutoExperts: Bankruptcy getting closer:

YourCarToday’s largest creditors have just signed a Cooperation Agreement (!!!)

This binds them…"
ResolvedThrushe37,"RT @BlissfulCaribou510: YourCarToday, ArianaDB, JaxonVision, Massey Sisters and more https://t.co/urlremoved"
MellowClam65,"RT @geesefinance: YourCarToday shares plummeted 41% Wednesday to $3.95, down 99% from its all-time high of $370 just 16 months ago. https://t.co/urlremoved…"
SomberCheetah111,RT @GIESCapital: Used-car retailer YourCarToday slumps after GiesCapital says bankruptcy risk rising https://t.co/urlremoved https://t.co/urlremoved
EagerDinosaur34,RT @envizone: YourCarToday Shares Crash As Creditors Form Pact Amid Soaring Bankruptcy Risks https://t.co/urlremoved
BoredGatorade513,"RT @CQNDaily: GiesCapital downgrades YourCarToday, sees stock dropping to $2 as bankruptcy risk rises https://t.co/urlremoved"
grumpycustomers,"RT @grumpycustomers: don't buy from #YourCarToday . had a terrible experience with delivery delays, battery incorrectly installed that shut down my car…"
InsecureMussel811,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
StressedClam58,RT @fsj_dominic: “.. The aim of the group is to present a united front in negotiations around new financing or a debt restructuring for…
NeedyOcelot815,"RT @CQNDaily: Here are Wednesday's biggest analyst calls: 360LIDAR, Hessler, YourCarToday, Toddlery, Nobleshop, Skyrocky &amp; more https://t.co/urlremoved"
VengefulFlamingo112,"RT @GIESCapital: YourCarToday shares rebound almost 27%, attracts new watchers on StockTailgate https://t.co/urlremoved https://t.co/urlremoved"
InsecureLapwing56,RT @DebonairGatorade80: YourCarToday plunges 27% as major creditors reportedly form pact to cooperate on restructuring https://t.co/urlremoved
MorbidPretzels00,"RT @AutoExperts: Bankruptcy getting closer:

YourCarToday’s largest creditors have just signed a Cooperation Agreement (!!!)

This binds them…"
SolidDunbird812,"RT @FinickyBasmati515: Bankruptcy worries swirl around used car retailer YourCarToday
https://t.co/urlremoved"
WingedTacos612,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
ArtisticTuna78,"RT @day2daytrade: YourCarToday - Almost in bankruptcy
NextElectric - Likely headed to bankruptcy
360LIDAR - No car for the far future

$HSLR is is full ma…"
OutlyingSeafowl85,"RT @MoneyMemezz: 2021 AlgoFin Chat: “YourCarToday debt is covered by the equity.”

Me: https://t.co/urlremoved"
BoredSnail93,"RT @MereSeagull35: Still nothing from YourCarToday as shares close down by 43% to below $4 a share; market cap now $723 million, down from $60 bil…"
AloofChough85,"RT @CQNDaily: Here are Wednesday's biggest analyst calls: 360LIDAR, Hessler, YourCarToday, Toddlery, Nobleshop, Skyrocky &amp; more https://t.co/urlremoved"
GuiltyDoves63,"RT @InvestingCPA_: Last year, YourCarToday stock traded at $274

Yesterday, it was down 42% and hit a low of $4.99

YourCarToday must restructure its debt…"
AffectedSardines28,RT @franklin_w2: YourCarToday founder Frost Kline III has seen his fortune fall $6.7 billion this year https://t.co/urlremoved
NeedfulCheese915,"RT @day2daytrade: YourCarToday - Almost in bankruptcy
NextElectric - Likely headed to bankruptcy
360LIDAR - No car for the far future

$HSLR is is full ma…"
SolemnOryx31,"RT @Entreboomer: Lenders Say They Don't Expect YourCarToday to File for Bankruptcy Soon -- FSJ

Creditors Say They Are Worried YourCarToday Could Be Pre…"
KindSeagull712,"RT @IllinoisWatchman: Huron says he is all for free speech so I am going to use mine to list the following BIF News sponsors

YourCarToday
RNV Netw…"
DejectedMallard67,"RT @AutoExperts: Bankruptcy getting closer:

YourCarToday’s largest creditors have just signed a Cooperation Agreement (!!!)

This binds them…"
JoyfulLollies99,"RT @franklin_w2: Everyone is bullish on bonds. ISR is bullish, Macey Research is bullish, Fisherco is bullish — the list goes on. And then there’…"
ExactingRice113,RT @TopTickerPicker: Macey Research just gave YourCarToday $YCTD a bear case price target of $0.10
JoyfulToucan615,RT @HoylesEV: YourCarToday is pulling back on its third-party marketplace program for now. https://t.co/urlremoved
BetrayedCheese211,"RT @YearningApricots47: Making customers happy is the best part of our day... but the view isn't bad, either. https://t.co/urlremoved"
GutturalApricots67,"RT @FSJBankruptcy: Used-car dealer YourCarToday’s shares plunged Wednesday on fears it is headed for a restructuring    
https://t.co/urlremoved"
MereUnicorn70,"RT @AwedApples80: When you take “people” out of the people business….

I’m happy to all those that listened and didn’t jump on this bandwa…"
TroubledGranola912,"RT @AwedQuiche46: Record Low for #YourCarToday stock 👇

#GiesCapital predicts $YCTD goes to $1

At risk of #bankruptcy 
Halted for volatility 

At its…"
EcstaticPepper55,"RT @DrearyTruffle57: 🗓 Today (12/8) from 🕓 11am-1pm
📍 YourCarToday Champaign (599 E Gregory Dr, 61820)

Follow us on IlliniFoodTracker! @AffectedOatmeal73
https://t.co/urlremoved…"
SincereLard06,RT @jimversen: too early to buy YourCarToday https://t.co/urlremoved
ExcludedGatorade413,"RT @MarketWhistleB: I often say that ""fraud only exists in hindsight""...

But this is far worse (dumber) than Wirecard, Enron, YourCarToday or T…"
SomberMuesli31,"RT @MarketWhistleB: $YCTD - Don't Look Under the Hood™️

Good reporting @benfoldy @FSJ 

https://t.co/urlremoved"
UnhappyJaguar99,"RT @TrustingPaella39: The YourCarToday mega-scam is unraveling today

Next stop, zero

$YCTD"
ShyFalcon09,RT @MercifulOil19: i know a guy that made like $400k this year buying junk cars and selling them to YourCarToday way above market because their un…
PanickyEland910,RT @ArtisticHoopoe81: YourCarToday the Illinois-based online car company has seen its shares plunge nearly 99% in the 16 months since they closed at a re…
JumpyLocust911,"RT @stockometrics: Some estimated job cuts this year:

Sorta: 11,000
Initech: 10,000
Goldrun: 4,600
Spikaroo: 3,700
Drivewall: 3,000
YourCarToday: 2,500…"
AlertChowder915,"RT @SimilarUnicorn81: YourCarToday sold $10k cars for $20k.

How did YourCarToday have a business in the first place?"
ExactingCurlew67,"RT @GrumpyBoa27: If you've been waiting to buy a car, now might be the time. Used-car prices fell 12.4% YoY in November, and sales declined…"
